workload,apc,repetition,request_id,sequence_index,scope,change_type,prompt_tokens,cached_tokens,cache_hit_fraction,ttft_ms,client_wall_ms,generation_time_ms,mean_itl_ms,tokens_per_second,quality_passed,quality_score,finish_reason,result_file,ledger_file,source_root
periodic_agent,on,2,periodic-04,4,reuse_eligible,sliding_window,230,80,0.34782608695652173,50.984607078135014,1284.0074161067605,1226.1886671185493,20.10145355932048,48.54470513329267,False,0.75,stop,periodic_agent-apc-on-rep-2.json,baseline-269138-periodic_agent-apc-on-rep-2.jsonl,baseline-269138
periodic_agent,on,2,periodic-05,5,reuse_eligible,sliding_window,230,80,0.34782608695652173,51.19849555194378,1284.0754128992558,1226.0667458176613,20.099454849469858,48.541209759624955,False,0.75,stop,periodic_agent-apc-on-rep-2.json,baseline-269138-periodic_agent-apc-on-rep-2.jsonl,baseline-269138
periodic_agent,on,3,periodic-00,0,cold,cold_start,230,0,0.0,60.31069811433554,1400.4156906157732,1192.394065670669,20.210068909672355,47.89636132516336,False,0.25,stop,periodic_agent-apc-on-rep-3.json,baseline-269138-periodic_agent-apc-on-rep-3.jsonl,baseline-269138
periodic_agent,on,3,periodic-01,1,reuse_eligible,sliding_window,230,80,0.34782608695652173,49.46532566100359,1242.3839755356312,1186.1089803278446,20.103542039454993,48.56041414035486,False,0.5,stop,periodic_agent-apc-on-rep-3.json,baseline-269138-periodic_agent-apc-on-rep-3.jsonl,baseline-269138
periodic_agent,on,3,periodic-02,2,reuse_eligible,sliding_window,230,80,0.34782608695652173,51.02473869919777,1283.915614709258,1225.4940187558532,20.090065881243497,48.56959573677331,False,0.75,stop,periodic_agent-apc-on-rep-3.json,baseline-269138-periodic_agent-apc-on-rep-3.jsonl,baseline-269138
periodic_agent,on,3,periodic-03,3,reuse_eligible,sliding_window,230,80,0.34782608695652173,51.692395471036434,1284.7455199807882,1225.6792364642024,20.093102237118075,48.537166827533966,False,0.75,stop,periodic_agent-apc-on-rep-3.json,baseline-269138-periodic_agent-apc-on-rep-3.jsonl,baseline-269138
periodic_agent,on,3,periodic-04,4,reuse_eligible,sliding_window,230,80,0.34782608695652173,51.214116625487804,1284.0201798826456,1225.833143107593,20.095625296845785,48.54949535145535,False,0.75,stop,periodic_agent-apc-on-rep-3.json,baseline-269138-periodic_agent-apc-on-rep-3.jsonl,baseline-269138
periodic_agent,on,3,periodic-05,5,reuse_eligible,sliding_window,230,80,0.34782608695652173,50.842479802668095,1283.723684027791,1226.0938538238406,20.09989924301378,48.55371279468534,False,0.75,stop,periodic_agent-apc-on-rep-3.json,baseline-269138-periodic_agent-apc-on-rep-3.jsonl,baseline-269138
chat,off,1,chat-00,0,cold,cold_start,53,0,0.0,29.113968834280968,476.82361491024494,319.8962118476629,19.993513240478933,48.70918082327304,True,1.0,stop,chat-apc-off-rep-1.json,baseline-268672-chat-apc-off-rep-1.jsonl,baseline-268672
chat,off,1,chat-01,1,reuse_eligible,append_turn,97,0,0.0,36.33799310773611,543.3643627911806,501.66543293744326,20.06661731749773,48.32682979572071,False,0.75,stop,chat-apc-off-rep-1.json,baseline-268672-chat-apc-off-rep-1.jsonl,baseline-268672
chat,off,1,chat-02,2,reuse_eligible,append_turn,149,0,0.0,55.79668562859297,743.9176505431533,682.5627088546753,20.075373789843393,47.402390030527506,True,1.0,stop,chat-apc-off-rep-1.json,baseline-268672-chat-apc-off-rep-1.jsonl,baseline-268672
chat,off,1,chat-03,3,reuse_eligible,edit_history,149,0,0.0,50.12241844087839,760.8415801078081,704.6646550297737,20.13327585799353,47.695570400358434,False,0.8,stop,chat-apc-off-rep-1.json,baseline-268672-chat-apc-off-rep-1.jsonl,baseline-268672
chat,off,2,chat-00,0,cold,cold_start,53,0,0.0,29.22269981354475,473.94400741904974,319.7364201769233,19.983526261057705,48.716308089223645,True,1.0,stop,chat-apc-off-rep-2.json,baseline-268672-chat-apc-off-rep-2.jsonl,baseline-268672
