workload,apc,repetition,request_id,sequence_index,scope,change_type,prompt_tokens,cached_tokens,cache_hit_fraction,ttft_ms,client_wall_ms,generation_time_ms,mean_itl_ms,tokens_per_second,quality_passed,quality_score,finish_reason,result_file,ledger_file
rag,on,1,rag-01,1,reuse_eligible,document_replacement,176,80,0.45454545454545453,35.96208896487951,523.6111972481012,479.9304995685816,19.997104148690898,48.45969985936033,True,1.0,stop,rag-apc-on-rep-1.json,baseline-268672-rag-apc-on-rep-1.jsonl
rag,on,1,rag-02,2,reuse_eligible,document_reorder,176,32,0.18181818181818182,50.49756169319153,524.1942266002297,466.2644239142537,20.272366257141464,46.44304470613951,True,1.0,stop,rag-apc-on-rep-1.json,baseline-268672-rag-apc-on-rep-1.jsonl
rag,on,1,rag-03,3,reuse_eligible,query_replacement,177,160,0.903954802259887,27.25004218518734,374.7015241533518,339.8994319140911,19.994084230240656,49.026353760029465,True,1.0,stop,rag-apc-on-rep-1.json,baseline-268672-rag-apc-on-rep-1.jsonl
rag,on,2,rag-00,0,cold,cold_start,167,0,0.0,51.10820010304451,1159.8557261750102,945.0777042657137,20.108036260972632,48.183777535394476,True,1.0,length,rag-apc-on-rep-2.json,baseline-268672-rag-apc-on-rep-2.jsonl
rag,on,2,rag-01,1,reuse_eligible,document_replacement,176,80,0.45454545454545453,35.7299605384469,522.1363445743918,479.7491589561105,19.989548289837938,48.49856968893957,True,1.0,stop,rag-apc-on-rep-2.json,baseline-268672-rag-apc-on-rep-2.jsonl
rag,on,2,rag-02,2,reuse_eligible,document_reorder,176,32,0.18181818181818182,50.46276282519102,523.8696467131376,466.07815194875,20.264267476032607,46.462921549018745,True,1.0,stop,rag-apc-on-rep-2.json,baseline-268672-rag-apc-on-rep-2.jsonl
rag,on,2,rag-03,3,reuse_eligible,query_replacement,177,160,0.903954802259887,27.18146424740553,374.323139898479,340.0658741593361,20.003874950549182,49.013289185677515,True,1.0,stop,rag-apc-on-rep-2.json,baseline-268672-rag-apc-on-rep-2.jsonl
rag,on,3,rag-00,0,cold,cold_start,167,0,0.0,50.962721928954124,1165.82899261266,945.6251859664917,20.119684807797697,48.164341168221135,True,1.0,length,rag-apc-on-rep-3.json,baseline-268672-rag-apc-on-rep-3.jsonl
rag,on,3,rag-01,1,reuse_eligible,document_replacement,176,80,0.45454545454545453,37.805864587426186,524.7054668143392,479.70521077513695,19.987717115630705,48.308144869141685,True,1.0,stop,rag-apc-on-rep-3.json,baseline-268672-rag-apc-on-rep-3.jsonl
rag,on,3,rag-02,2,reuse_eligible,document_reorder,176,32,0.18181818181818182,50.41390471160412,523.2013231143355,465.56278597563505,20.24186025981022,46.513729075695146,True,1.0,stop,rag-apc-on-rep-3.json,baseline-268672-rag-apc-on-rep-3.jsonl
rag,on,3,rag-03,3,reuse_eligible,query_replacement,177,160,0.903954802259887,26.939845643937588,374.18320029973984,340.01706168055534,20.001003628267963,49.05208115917258,True,1.0,stop,rag-apc-on-rep-3.json,baseline-268672-rag-apc-on-rep-3.jsonl
